[2026-03-27 20:21:28,743: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-27 20:21:28,884: INFO: components: saved train to the artifacts\data_ingestion\train]
[2026-03-27 20:21:28,893: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-27 20:21:28,925: INFO: components: saved validation to the artifacts\data_ingestion\validation]
[2026-03-27 20:21:28,933: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-27 20:21:28,974: INFO: components: saved test to the artifacts\data_ingestion\test]
[2026-03-31 09:19:56,172: INFO: main: started data_ingestion]
[2026-03-31 09:19:56,196: INFO: utils: loaded the yaml file]
[2026-03-31 09:19:56,204: INFO: utils: created the path artifacts]
[2026-03-31 09:19:56,204: INFO: main: started the getting the artifacts]
[2026-03-31 09:19:56,212: INFO: main: check your artifacts folder all good]
[2026-03-31 09:19:56,756: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-03-31 09:19:57,063: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
[2026-03-31 09:19:57,426: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 09:19:58,272: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 09:19:58,737: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-03-31 09:19:59,055: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
[2026-03-31 09:19:59,852: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-03-31 09:20:00,219: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
[2026-03-31 09:20:00,728: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-03-31 09:20:01,595: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-03-31 09:20:02,077: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 09:20:02,251: INFO: components: saved train to the artifacts\data_ingestion\train]
[2026-03-31 09:20:02,251: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 09:20:02,294: INFO: components: saved validation to the artifacts\data_ingestion\validation]
[2026-03-31 09:20:02,294: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 09:20:02,377: INFO: components: saved test to the artifacts\data_ingestion\test]
[2026-03-31 11:14:58,437: INFO: main: started data_ingestion]
[2026-03-31 11:14:58,437: INFO: utils: loaded the yaml file]
[2026-03-31 11:14:58,451: INFO: utils: created the path artifacts]
[2026-03-31 11:14:58,453: INFO: main: started the getting the artifacts]
[2026-03-31 11:14:58,454: INFO: main: check your artifacts folder all good]
[2026-03-31 11:14:59,110: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-03-31 11:14:59,203: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
[2026-03-31 11:14:59,552: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:15:00,505: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-03-31 11:15:00,822: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-03-31 11:15:01,171: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
[2026-03-31 11:15:01,869: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-03-31 11:15:02,218: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
